2025-03-03 11:58:11.557 | WARNING  | etl.validators.schema_validator:_load_schemas:32 - Schemas directory /Users/juliusrechenbach/API ProHandelTest/etl/validators/schemas does not exist
2025-03-03 11:58:11.994 | INFO     | lambda_function:lambda_handler:41 - Received event: {"request": {"operation": "test"}}
2025-03-03 11:58:11.994 | INFO     | etl.connectors.prohandel_connector:get_entity_list:106 - Fetching article data (page 1, pagesize 1)
2025-03-03 11:58:11.994 | INFO     | etl.utils.auth:authenticate:42 - Authenticating with ProHandel API...
2025-03-03 11:58:12.264 | ERROR    | etl.utils.auth:authenticate:56 - Authentication failed: 404 Client Error: Not Found for url: https://linde.prohandel.de/api/v2/auth/token
2025-03-03 11:58:12.264 | ERROR    | etl.utils.auth:authenticate:58 - Response status: 404
2025-03-03 11:58:14.267 | INFO     | etl.utils.auth:authenticate:42 - Authenticating with ProHandel API...
2025-03-03 11:58:14.358 | ERROR    | etl.utils.auth:authenticate:56 - Authentication failed: 404 Client Error: Not Found for url: https://linde.prohandel.de/api/v2/auth/token
2025-03-03 11:58:14.358 | ERROR    | etl.utils.auth:authenticate:58 - Response status: 404
2025-03-03 11:58:16.359 | INFO     | etl.utils.auth:authenticate:42 - Authenticating with ProHandel API...
2025-03-03 11:58:16.456 | ERROR    | etl.utils.auth:authenticate:56 - Authentication failed: 404 Client Error: Not Found for url: https://linde.prohandel.de/api/v2/auth/token
2025-03-03 11:58:16.456 | ERROR    | etl.utils.auth:authenticate:58 - Response status: 404
2025-03-03 11:58:16.456 | ERROR    | etl.connectors.prohandel_connector:get_entity_list:121 - Error fetching article data: RetryError[<Future at 0x1096ccc50 state=finished raised HTTPError>]
