2025-03-03 12:28:37.076 | INFO     | lambda_function:lambda_handler:42 - Received event: {"request": {"operation": "sync"}}
2025-03-03 12:28:37.076 | INFO     | lambda_function:handle_sync:284 - Syncing entity: article
2025-03-03 12:28:37.076 | INFO     | etl.connectors.prohandel_connector:get_entity_list:106 - Fetching article data (page 1, pagesize 100)
2025-03-03 12:28:37.076 | INFO     | etl.utils.auth:authenticate:42 - Authenticating with ProHandel API...
2025-03-03 12:28:37.254 | INFO     | etl.utils.auth:authenticate:60 - Authentication successful
2025-03-03 12:28:37.641 | INFO     | etl.validators.schema_validator:validate_batch:94 - Validated 100/100 items for article
2025-03-03 12:28:37.641 | INFO     | etl.connectors.prohandel_connector:get_entity_list:106 - Fetching article data (page 2, pagesize 100)
2025-03-03 12:28:37.924 | INFO     | etl.validators.schema_validator:validate_batch:94 - Validated 100/100 items for article
2025-03-03 12:28:37.924 | INFO     | etl.connectors.prohandel_connector:get_entity_list:106 - Fetching article data (page 3, pagesize 100)
2025-03-03 12:28:38.222 | INFO     | etl.validators.schema_validator:validate_batch:94 - Validated 100/100 items for article
2025-03-03 12:28:38.222 | INFO     | etl.connectors.prohandel_connector:get_entity_list:106 - Fetching article data (page 4, pagesize 100)
2025-03-03 12:28:38.508 | INFO     | etl.validators.schema_validator:validate_batch:94 - Validated 100/100 items for article
2025-03-03 12:28:38.508 | INFO     | etl.connectors.prohandel_connector:get_entity_list:106 - Fetching article data (page 5, pagesize 100)
2025-03-03 12:28:38.844 | INFO     | etl.validators.schema_validator:validate_batch:94 - Validated 100/100 items for article
2025-03-03 12:28:38.844 | INFO     | etl.connectors.prohandel_connector:get_entity_list:106 - Fetching article data (page 6, pagesize 100)
2025-03-03 12:28:39.139 | INFO     | etl.validators.schema_validator:validate_batch:94 - Validated 100/100 items for article
2025-03-03 12:28:39.139 | INFO     | etl.connectors.prohandel_connector:get_entity_list:106 - Fetching article data (page 7, pagesize 100)
2025-03-03 12:28:39.423 | INFO     | etl.validators.schema_validator:validate_batch:94 - Validated 100/100 items for article
2025-03-03 12:28:39.423 | INFO     | etl.connectors.prohandel_connector:get_entity_list:106 - Fetching article data (page 8, pagesize 100)
2025-03-03 12:28:39.712 | INFO     | etl.validators.schema_validator:validate_batch:94 - Validated 100/100 items for article
2025-03-03 12:28:39.712 | INFO     | etl.connectors.prohandel_connector:get_entity_list:106 - Fetching article data (page 9, pagesize 100)
2025-03-03 12:28:40.021 | INFO     | etl.validators.schema_validator:validate_batch:94 - Validated 100/100 items for article
2025-03-03 12:28:40.021 | INFO     | etl.connectors.prohandel_connector:get_entity_list:106 - Fetching article data (page 10, pagesize 100)
2025-03-03 12:28:40.369 | INFO     | etl.validators.schema_validator:validate_batch:94 - Validated 100/100 items for article
2025-03-03 12:28:40.369 | WARNING  | lambda_function:handle_sync:310 - Reached maximum page limit for article
2025-03-03 12:28:40.369 | INFO     | lambda_function:handle_sync:318 - Enhancing 1000 records for article
2025-03-03 12:28:40.391 | INFO     | lambda_function:handle_sync:333 - Found 1000 records for article
2025-03-03 12:28:40.391 | INFO     | lambda_function:handle_sync:284 - Syncing entity: customer
2025-03-03 12:28:40.391 | INFO     | etl.connectors.prohandel_connector:get_entity_list:106 - Fetching customer data (page 1, pagesize 100)
2025-03-03 12:28:40.701 | INFO     | etl.validators.schema_validator:validate_batch:94 - Validated 100/100 items for customer
2025-03-03 12:28:40.701 | INFO     | etl.connectors.prohandel_connector:get_entity_list:106 - Fetching customer data (page 2, pagesize 100)
2025-03-03 12:28:41.017 | INFO     | etl.validators.schema_validator:validate_batch:94 - Validated 100/100 items for customer
2025-03-03 12:28:41.018 | INFO     | etl.connectors.prohandel_connector:get_entity_list:106 - Fetching customer data (page 3, pagesize 100)
2025-03-03 12:28:41.333 | INFO     | etl.validators.schema_validator:validate_batch:94 - Validated 100/100 items for customer
2025-03-03 12:28:41.333 | INFO     | etl.connectors.prohandel_connector:get_entity_list:106 - Fetching customer data (page 4, pagesize 100)
2025-03-03 12:28:41.658 | INFO     | etl.validators.schema_validator:validate_batch:94 - Validated 100/100 items for customer
2025-03-03 12:28:41.658 | INFO     | etl.connectors.prohandel_connector:get_entity_list:106 - Fetching customer data (page 5, pagesize 100)
2025-03-03 12:28:41.985 | INFO     | etl.validators.schema_validator:validate_batch:94 - Validated 100/100 items for customer
2025-03-03 12:28:41.985 | INFO     | etl.connectors.prohandel_connector:get_entity_list:106 - Fetching customer data (page 6, pagesize 100)
2025-03-03 12:28:42.339 | INFO     | etl.validators.schema_validator:validate_batch:94 - Validated 100/100 items for customer
2025-03-03 12:28:42.339 | INFO     | etl.connectors.prohandel_connector:get_entity_list:106 - Fetching customer data (page 7, pagesize 100)
2025-03-03 12:28:42.663 | INFO     | etl.validators.schema_validator:validate_batch:94 - Validated 100/100 items for customer
2025-03-03 12:28:42.663 | INFO     | etl.connectors.prohandel_connector:get_entity_list:106 - Fetching customer data (page 8, pagesize 100)
2025-03-03 12:28:43.007 | INFO     | etl.validators.schema_validator:validate_batch:94 - Validated 100/100 items for customer
2025-03-03 12:28:43.007 | INFO     | etl.connectors.prohandel_connector:get_entity_list:106 - Fetching customer data (page 9, pagesize 100)
2025-03-03 12:28:43.404 | INFO     | etl.validators.schema_validator:validate_batch:94 - Validated 100/100 items for customer
2025-03-03 12:28:43.404 | INFO     | etl.connectors.prohandel_connector:get_entity_list:106 - Fetching customer data (page 10, pagesize 100)
2025-03-03 12:28:43.746 | INFO     | etl.validators.schema_validator:validate_batch:94 - Validated 100/100 items for customer
2025-03-03 12:28:43.747 | WARNING  | lambda_function:handle_sync:310 - Reached maximum page limit for customer
2025-03-03 12:28:43.747 | INFO     | lambda_function:handle_sync:318 - Enhancing 1000 records for customer
2025-03-03 12:28:43.769 | INFO     | lambda_function:handle_sync:333 - Found 1000 records for customer
2025-03-03 12:28:43.769 | INFO     | lambda_function:handle_sync:284 - Syncing entity: order
2025-03-03 12:28:43.769 | INFO     | etl.connectors.prohandel_connector:get_entity_list:106 - Fetching order data (page 1, pagesize 100)
2025-03-03 12:28:44.797 | INFO     | etl.validators.schema_validator:validate_batch:94 - Validated 100/100 items for order
2025-03-03 12:28:44.797 | INFO     | etl.connectors.prohandel_connector:get_entity_list:106 - Fetching order data (page 2, pagesize 100)
2025-03-03 12:28:45.746 | INFO     | etl.validators.schema_validator:validate_batch:94 - Validated 100/100 items for order
2025-03-03 12:28:45.747 | INFO     | etl.connectors.prohandel_connector:get_entity_list:106 - Fetching order data (page 3, pagesize 100)
2025-03-03 12:28:46.799 | INFO     | etl.validators.schema_validator:validate_batch:94 - Validated 100/100 items for order
2025-03-03 12:28:46.799 | INFO     | etl.connectors.prohandel_connector:get_entity_list:106 - Fetching order data (page 4, pagesize 100)
2025-03-03 12:28:47.934 | INFO     | etl.validators.schema_validator:validate_batch:94 - Validated 100/100 items for order
2025-03-03 12:28:47.934 | INFO     | etl.connectors.prohandel_connector:get_entity_list:106 - Fetching order data (page 5, pagesize 100)
2025-03-03 12:28:49.001 | INFO     | etl.validators.schema_validator:validate_batch:94 - Validated 100/100 items for order
2025-03-03 12:28:49.001 | INFO     | etl.connectors.prohandel_connector:get_entity_list:106 - Fetching order data (page 6, pagesize 100)
2025-03-03 12:28:49.982 | INFO     | etl.validators.schema_validator:validate_batch:94 - Validated 100/100 items for order
2025-03-03 12:28:49.982 | INFO     | etl.connectors.prohandel_connector:get_entity_list:106 - Fetching order data (page 7, pagesize 100)
2025-03-03 12:28:50.979 | INFO     | etl.validators.schema_validator:validate_batch:94 - Validated 100/100 items for order
2025-03-03 12:28:50.979 | INFO     | etl.connectors.prohandel_connector:get_entity_list:106 - Fetching order data (page 8, pagesize 100)
2025-03-03 12:28:52.041 | INFO     | etl.validators.schema_validator:validate_batch:94 - Validated 100/100 items for order
2025-03-03 12:28:52.042 | INFO     | etl.connectors.prohandel_connector:get_entity_list:106 - Fetching order data (page 9, pagesize 100)
2025-03-03 12:28:53.128 | INFO     | etl.validators.schema_validator:validate_batch:94 - Validated 100/100 items for order
2025-03-03 12:28:53.128 | INFO     | etl.connectors.prohandel_connector:get_entity_list:106 - Fetching order data (page 10, pagesize 100)
2025-03-03 12:28:54.171 | INFO     | etl.validators.schema_validator:validate_batch:94 - Validated 100/100 items for order
2025-03-03 12:28:54.171 | WARNING  | lambda_function:handle_sync:310 - Reached maximum page limit for order
